project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
87161424.sb,0,0,0,0,0,0,0,10,1,0,0,0,19,6,0,30,0
87162310.sb,0,0,0,0,0,0,0,117,1,19,2,0,58,6,0,954,0
87168323.sb,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,42,0
87169461.sb,0,0,0,0,0,0,0,7,0,0,5,3,5,1,0,4,0
87172246.sb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
87174916.sb,0,0,0,0,0,0,0,10,0,0,1,5,2,0,0,0,0
87176578.sb,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2,0
87185126.sb,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,6,0
87186305.sb,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,2
87186968.sb,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
87187011.sb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87187352.sb,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,22,2
87191014.sb,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0
87191397.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87205313.sb,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87209082.sb,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
87211407.sb,0,0,0,0,0,0,0,3,0,0,1,17,9,0,0,78,0
87214258.sb,0,1,0,0,0,0,0,4,0,0,0,0,6,7,0,18,1
87217245.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
87226108.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87226215.sb,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,2,0
87226570.sb,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
87227191.sb,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
87228282.sb,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,570,0
87229341.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87237275.sb,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,56,6
87239625.sb,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
87245956.sb,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87253543.sb,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0
87254939.sb,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,32,0
87258571.sb,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0
87258886.sb,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
87259884.sb,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1
87263532.sb,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0
87266129.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
87271845.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87273772.sb,0,0,0,0,0,0,0,2,0,0,2,6,2,0,0,0,0
87285240.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87292060.sb,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1
87292371.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
